cluster_origem,municipio_origem,lat_origem,lon_origem,cluster_destino,municipio_destino,lat_destino,lon_destino,mesmo_cluster,n_usuarios,n_viagens,dist_media_km,periodo_predominante
CAMPECHE,Florianópolis,-27.68,-48.48,UFSC,Florianópolis,-27.5969,-48.55,0,7265,7609,11.53,TARDE
UFSC,Florianópolis,-27.5969,-48.55,CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,0,10520,11205,0.258,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,15292,16708,8.737,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,TRINDADE,Florianópolis,-27.6011,-48.532,0,11054,11820,10.159,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,BIGUACU_BR101_NORTE,Biguaçu,-27.495,-48.655,0,6066,6309,16.918,TARDE
BIGUACU_BR101_NORTE,Biguaçu,-27.495,-48.655,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,6308,6567,11.389,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,0,17662,19549,4.502,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,INGLESES,Florianópolis,-27.435,-48.395,0,15147,16638,25.309,TARDE
INGLESES,Florianópolis,-27.435,-48.395,TRINDADE,Florianópolis,-27.6011,-48.532,0,9683,10302,22.883,TARDE
TRINDADE,Florianópolis,-27.6011,-48.532,JURERE,Florianópolis,-27.44,-48.5,0,7499,7906,18.189,TARDE
SC401_CORREDOR,Florianópolis,-27.56,-48.518,SAO_JOSE_CENTRO,São José,-27.61,-48.618,0,6229,6532,11.316,TARDE
SAO_JOSE_CENTRO,São José,-27.61,-48.618,INGLESES,Florianópolis,-27.435,-48.395,0,3908,4032,29.364,TARDE
INGLESES,Florianópolis,-27.435,-48.395,AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,0,7537,7948,30.122,TARDE
AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,CAMPECHE,Florianópolis,-27.68,-48.48,0,8592,9076,6.691,TARDE
INGLESES,Florianópolis,-27.435,-48.395,SAO_JOSE_ROÇADO,,0.0,0.0,0,8721,9260,0.0,TARDE
SAO_JOSE_ROÇADO,,0.0,0.0,SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,0,10704,11512,0.0,TARDE
SAO_JOSE_KOBRASOL,São José,-27.595,-48.63,CAMPECHE,Florianópolis,-27.68,-48.48,0,12311,13276,17.54,TARDE
CAMPECHE,Florianópolis,-27.68,-48.48,BIGUACU_BR101_NORTE,Biguaçu,-27.495,-48.655,0,6152,6405,26.844,TARDE
BIGUACU_BR101_NORTE,Biguaçu,-27.495,-48.655,SC401_CORREDOR,Florianópolis,-27.56,-48.518,0,7536,7887,15.321,TARDE
CBD_BEIRAMAR,Florianópolis,-27.5954,-48.548,RESIDENCIAL_NORTE,Florianópolis,-27.542,-48.5,0,13441,14584,7.592,TARDE
RESIDENCIAL_NORTE,Florianópolis,-27.542,-48.5,INGLESES,Florianópolis,-27.435,-48.395,0,7579,7987,15.774,TARDE
INGLESES,Florianópolis,-27.435,-48.395,LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,0,8722,9231,19.96,TARDE
LAGOA_CONCEICAO,Florianópolis,-27.605,-48.46,AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,0,7656,8112,11.211,TARDE
AEROPORTO_HLZ,Florianópolis,-27.67,-48.547,SAO_JOSE_CENTRO,São José,-27.61,-48.618,0,3645,3767,9.666,TARDE
PALHOCA_PEDRA_BRANCA,Palhoça,-27.625,-48.69,ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,0,4437,4600,11.134,TARDE
ESTREITO_CAPOEIRAS,Florianópolis,-27.588,-48.585,COQUEIROS,Florianópolis,-27.582,-48.57,0,2582,2662,1.622,TARDE
