ecgi,cluster,municipio,day_date,periodo,n_usuarios,n_sessoes,download_bytes,upload_bytes,dur_media_s,drop_pct_medio,congestionamento_medio,chamadas_total,mensagens_total,lat,lon
724050684142457,CBD_BEIRAMAR,Florianopolis,2026-03-01,MANHA,1367,5538,104305839720,15731146936,469,0.0668,0.348,3930,3025,-27.585,-48.544722
724050684142457,CBD_BEIRAMAR,Florianopolis,2026-03-01,NOITE,2515,11777,210260111898,31761984721,479,0.0687,0.346,8451,6595,-27.585,-48.544722
724050684142457,CBD_BEIRAMAR,Florianopolis,2026-03-01,TARDE,2593,12248,217103516502,32567194128,471,0.0672,0.351,8753,7140,-27.585,-48.544722
724050697605965,CBD_BEIRAMAR,Florianopolis,2026-03-01,MADRUGADA,594,2279,38176991396,5854549664,484,0.0702,0.354,1542,1287,-27.582264,-48.534361
724050697605965,CBD_BEIRAMAR,Florianopolis,2026-03-01,MANHA,1492,6016,108041863050,15835752216,475,0.0706,0.355,4282,3580,-27.582264,-48.534361
724050697605965,CBD_BEIRAMAR,Florianopolis,2026-03-01,NOITE,2659,12566,225122610638,33147719867,480,0.0683,0.354,8845,7129,-27.582264,-48.534361
724050697342190,CBD_BEIRAMAR,Florianopolis,2026-03-01,MADRUGADA,604,2277,40600047533,6021089741,487,0.0685,0.362,1608,1307,-27.5834,-48.544683
724050697342190,CBD_BEIRAMAR,Florianopolis,2026-03-01,TARDE,2606,12201,233095668528,35321651527,481,0.0696,0.351,8722,7038,-27.5834,-48.544683
724050683983270,CBD_BEIRAMAR,Florianopolis,2026-03-01,TARDE,2687,12571,227148725099,34354818162,482,0.068,0.35,9090,7145,-27.591528,-48.552775
724050697342190,CBD_BEIRAMAR,Florianopolis,2026-03-02,NOITE,2202,9751,142182103926,21702398964,471,0.0684,0.352,6800,5359,-27.5834,-48.544683
7240501005162724,CAMPECHE,Florianopolis,2026-03-02,NOITE,1815,7910,114270451577,17175118506,476,0.0686,0.346,5645,4646,-27.658331,-48.505831
7240501005162724,CAMPECHE,Florianopolis,2026-03-02,TARDE,2099,9769,132302478708,20191430065,480,0.0684,0.35,6944,5524,-27.658331,-48.505831
7240501005162597,LAGOA_CONCEICAO,Florianopolis,2026-03-02,NOITE,1841,8031,105505564375,15717606916,472,0.0667,0.353,5601,4451,-27.573889,-48.431667
7240501005162597,LAGOA_CONCEICAO,Florianopolis,2026-03-02,TARDE,2046,9459,136363090099,20105009420,478,0.0656,0.347,6901,5392,-27.573889,-48.431667
7240501004550410,UFSC,Florianopolis,2026-03-02,NOITE,2257,10243,156516630388,23974989975,473,0.0692,0.347,7268,5894,-27.590569,-48.557111
7240501005172207,CAMPECHE,Florianopolis,2026-03-03,MANHA,1815,7821,110087016449,16545421740,479,0.0697,0.345,5505,4440,-27.705278,-48.505556
7240501005172207,CAMPECHE,Florianopolis,2026-03-03,NOITE,1846,8092,114162056652,17343096042,485,0.0686,0.354,5681,4607,-27.705278,-48.505556
7240501005162724,CAMPECHE,Florianopolis,2026-03-03,MANHA,1775,7903,105866122867,15848625642,482,0.0692,0.348,5674,4625,-27.658331,-48.505831
724050699925231,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-03,MANHA,1804,7754,117528140484,17555899427,479,0.0698,0.346,5507,4390,-27.600833,-48.648111
724050699925231,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-03,TARDE,2119,9711,142220275627,21270422427,485,0.0681,0.348,6985,5824,-27.600833,-48.648111
7240501003962715,BIGUACU_BR101_NORTE,Biguacu,2026-03-03,TARDE,2518,11706,187176392591,28097078430,472,0.0677,0.344,8421,6554,-27.508108,-48.654131
7240501003962715,BIGUACU_BR101_NORTE,Biguacu,2026-03-03,MANHA,2127,9767,154441661228,23290865395,484,0.0679,0.355,6779,5515,-27.508108,-48.654131
7240501003962715,BIGUACU_BR101_NORTE,Biguacu,2026-03-03,NOITE,2175,10015,159343522728,23943784193,479,0.0683,0.345,6886,5608,-27.508108,-48.654131
7240501003495238,TRINDADE,Florianopolis,2026-03-03,TARDE,2522,11811,168858843370,25267267882,470,0.0689,0.351,8479,6801,-27.596111,-48.525528
7240501003495238,TRINDADE,Florianopolis,2026-03-03,NOITE,2101,9245,136417442042,20498185303,485,0.0686,0.356,6537,5433,-27.596111,-48.525528
724050697397122,ESTREITO_CAPOEIRAS,Florianopolis,2026-03-04,NOITE,1686,7404,104625030004,15488296038,478,0.0695,0.344,5175,4197,-27.5886,-48.590167
724050699925282,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-04,NOITE,1859,8259,115782327599,17402479547,489,0.0696,0.349,5728,4800,-27.599583,-48.620278
7240501003861722,TRINDADE,Florianopolis,2026-03-04,TARDE,2584,11991,180172013437,27026013228,486,0.0692,0.355,8502,6761,-27.601811,-48.526975
7240501003861722,TRINDADE,Florianopolis,2026-03-04,MANHA,2151,9494,144930437118,22032073669,475,0.0684,0.349,6581,5547,-27.601811,-48.526975
724050687263808,INGLESES,Florianopolis,2026-03-04,MANHA,1600,7040,99569630089,15004031924,508,0.0689,0.35,4912,4157,-27.439722,-48.387592
724050684142660,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-04,TARDE,2122,9637,134267030502,20377557937,478,0.0679,0.347,6903,5488,-27.6075,-48.638889
724050684142660,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-04,NOITE,1842,7903,117375228868,17496526872,483,0.0684,0.344,5638,4490,-27.6075,-48.638889
724050684142660,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-04,MANHA,1821,7948,106132215013,15998456164,477,0.0685,0.346,5522,4427,-27.6075,-48.638889
724050699925215,ESTREITO_CAPOEIRAS,Sao Jose,2026-03-04,MADRUGADA,546,2047,25961151411,3954408195,481,0.0698,0.353,1429,1203,-27.578972,-48.609
724050699925215,ESTREITO_CAPOEIRAS,Sao Jose,2026-03-04,MANHA,1690,7442,103782519386,15806192324,486,0.0675,0.353,5141,4107,-27.578972,-48.609
724050699925282,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-04,MANHA,1744,7484,107921347308,15757843373,486,0.0685,0.343,5476,4323,-27.599583,-48.620278
724050699925282,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-04,TARDE,2100,9696,132143780187,19841961944,488,0.0693,0.353,6871,5590,-27.599583,-48.620278
7240501005162660,JURERE,Florianopolis,2026-03-04,MANHA,1618,7088,99592919677,15114286827,485,0.0695,0.351,5051,4035,-27.439567,-48.501131
724050699979439,SAO_JOSE_CENTRO,Sao Jose,2026-03-05,MANHA,3380,15573,292879531224,44062953887,487,0.0691,0.347,11313,9059,-27.600028,-48.608417
724050699979439,SAO_JOSE_CENTRO,Sao Jose,2026-03-05,MADRUGADA,1154,4460,81400480173,12252625354,484,0.0693,0.355,3038,2543,-27.600028,-48.608417
724050687263808,INGLESES,Florianopolis,2026-03-05,MADRUGADA,580,2183,27760638311,4088449272,486,0.0686,0.354,1573,1181,-27.439722,-48.387592
724050687263808,INGLESES,Florianopolis,2026-03-05,TARDE,1986,9319,128473042522,19204574296,478,0.0679,0.344,6683,5194,-27.439722,-48.387592
724050698820053,CAMPECHE,Florianopolis,2026-03-05,NOITE,1815,8209,119126834419,17743669170,475,0.0688,0.344,5744,4744,-27.750786,-48.508767
724050697545253,SC401_CORREDOR,Florianopolis,2026-03-05,TARDE,1829,8167,117944878561,17979759768,476,0.0687,0.349,6020,4826,-27.537189,-48.527061
724050697545253,SC401_CORREDOR,Florianopolis,2026-03-05,NOITE,1596,6919,97954665119,14372878655,478,0.0674,0.354,4967,3874,-27.537189,-48.527061
7240501005309970,AEROPORTO_HLZ,Florianopolis,2026-03-05,MANHA,1714,7560,115674103037,17472308137,480,0.0692,0.352,5551,4329,-27.699858,-48.550608
724050697342190,CBD_BEIRAMAR,Florianopolis,2026-03-06,TARDE,2554,11710,165596461914,24219043956,477,0.0682,0.357,8323,6673,-27.5834,-48.544683
724050697342190,CBD_BEIRAMAR,Florianopolis,2026-03-06,NOITE,2191,9580,144431295480,21580844790,486,0.0688,0.345,6905,5448,-27.5834,-48.544683
724050684142457,CBD_BEIRAMAR,Florianopolis,2026-03-06,MADRUGADA,681,2440,34612641654,5159740621,490,0.0673,0.363,1880,1443,-27.585,-48.544722
7240501005162600,CBD_BEIRAMAR,Florianopolis,2026-03-06,MANHA,2083,8882,135758210269,19892948489,477,0.0696,0.348,6404,5013,-27.585,-48.543889
7240501005162600,CBD_BEIRAMAR,Florianopolis,2026-03-06,NOITE,2181,9587,140355535163,21113121768,484,0.0698,0.357,7005,5356,-27.585,-48.543889
7240501005162600,CBD_BEIRAMAR,Florianopolis,2026-03-06,TARDE,2465,11224,167079344272,24940517665,476,0.0673,0.348,8125,6666,-27.585,-48.543889
724050699109710,INGLESES,Florianopolis,2026-03-07,TARDE,2052,9837,158906903008,24416606553,482,0.0692,0.357,6999,5653,-27.439417,-48.387583
724050699109710,INGLESES,Florianopolis,2026-03-07,NOITE,2105,9900,164211646832,24922807578,484,0.0704,0.352,6903,5582,-27.439417,-48.387583
724050699109710,INGLESES,Florianopolis,2026-03-07,MANHA,1162,4765,85933120651,13229321533,478,0.0667,0.353,3541,2644,-27.439417,-48.387583
7240501005162589,CAMPECHE,Florianopolis,2026-03-07,TARDE,2155,10241,182738992653,27749923449,473,0.0677,0.351,7291,5924,-27.751942,-48.504442
7240501005162589,CAMPECHE,Florianopolis,2026-03-07,MANHA,1150,4655,86400713655,12765886829,475,0.0651,0.34,3422,2821,-27.751942,-48.504442
7240501004978224,BIGUACU_BR101_NORTE,Biguacu,2026-03-07,NOITE,2591,12604,241558260190,35925819566,482,0.0691,0.351,9006,7102,-27.508108,-48.654131
7240501005162678,SC401_CORREDOR,Florianopolis,2026-03-07,NOITE,1872,8748,152046789029,22427493378,481,0.0689,0.35,6104,4967,-27.578497,-48.510581
7240501005162678,SC401_CORREDOR,Florianopolis,2026-03-07,TARDE,1941,8987,159224315878,23553998300,479,0.0686,0.35,6572,5150,-27.578497,-48.510581
724050699925282,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-07,NOITE,2186,10281,182300732256,27339668061,477,0.0681,0.354,7343,5799,-27.599583,-48.620278
724050699925282,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-07,TARDE,2198,10261,176803423896,26947709140,471,0.0699,0.346,7264,5730,-27.599583,-48.620278
724050699925258,SAO_JOSE_ROÇADO,Sao Jose,2026-03-07,MANHA,780,3087,51077597616,7894264694,494,0.0693,0.35,2304,1811,-27.5465,-48.629694
724050699925258,SAO_JOSE_ROÇADO,Sao Jose,2026-03-07,NOITE,1456,6522,109716405060,16635208638,490,0.0684,0.348,4635,3657,-27.5465,-48.629694
724050699925258,SAO_JOSE_ROÇADO,Sao Jose,2026-03-07,TARDE,1520,7092,109223660675,16235272449,479,0.0683,0.349,4873,3992,-27.5465,-48.629694
724050699871808,SAO_JOSE_CENTRO,Sao Jose,2026-03-08,NOITE,4043,20236,482864196548,73052103009,476,0.0684,0.347,14393,11606,-27.618972,-48.634694
7240501005309970,AEROPORTO_HLZ,Florianopolis,2026-03-08,NOITE,2130,10125,182034444680,27923323135,476,0.0686,0.352,7256,5802,-27.699858,-48.550608
