ecgi_origem,lat_origem,lon_origem,cluster_origem,municipio_origem,ecgi_destino,lat_destino,lon_destino,cluster_destino,municipio_destino,n_usuarios,n_transicoes,dist_km,periodo_predominante,pct_do_cluster_origem
724050697342190,-27.5834,-48.544683,CBD_BEIRAMAR,Florianopolis,724050697605965,-27.582264,-48.534361,CBD_BEIRAMAR,Florianopolis,1535,1606,1.025,MANHA,4.9
724050697605965,-27.582264,-48.534361,CBD_BEIRAMAR,Florianopolis,724050684142457,-27.585,-48.544722,CBD_BEIRAMAR,Florianopolis,1465,1507,1.065,MANHA,4.6
724050684142457,-27.585,-48.544722,CBD_BEIRAMAR,Florianopolis,724050683983270,-27.591528,-48.552775,CBD_BEIRAMAR,Florianopolis,1495,1542,1.076,MANHA,4.7
7240501005162597,-27.573889,-48.431667,LAGOA_CONCEICAO,Florianopolis,7240501005162724,-27.658331,-48.505831,CAMPECHE,Florianopolis,182,183,11.898,MANHA,0.7
7240501005162724,-27.658331,-48.505831,CAMPECHE,Florianopolis,7240501004550410,-27.590569,-48.557111,UFSC,Florianopolis,203,204,9.072,MANHA,0.7
7240501004550410,-27.590569,-48.557111,UFSC,Florianopolis,724050697342190,-27.5834,-48.544683,CBD_BEIRAMAR,Florianopolis,194,195,1.461,MANHA,0.7
7240501003962715,-27.508108,-48.654131,BIGUACU_BR101_NORTE,Biguacu,7240501005162724,-27.658331,-48.505831,CAMPECHE,Florianopolis,182,184,22.196,MANHA,0.7
7240501005162724,-27.658331,-48.505831,CAMPECHE,Florianopolis,724050699925231,-27.600833,-48.648111,SAO_JOSE_KOBRASOL,Sao Jose,193,196,15.406,MANHA,0.7
724050699925231,-27.600833,-48.648111,SAO_JOSE_KOBRASOL,Sao Jose,7240501003495238,-27.596111,-48.525528,TRINDADE,Florianopolis,175,176,12.091,MANHA,0.6
7240501003495238,-27.596111,-48.525528,TRINDADE,Florianopolis,7240501005172207,-27.705278,-48.505556,CAMPECHE,Florianopolis,202,204,12.297,MANHA,0.7
